,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
168,Steve Flesch,100,70.958,287.5,63.56,65.83,-.244,.252,.007,"5,314",3,2,2007,"$2,288,899",USA
169,Steve Lowery,74,71.573,292.0,63.33,66.29,-.086,-.144,-.230,"1,536",1,,2007,"$502,622",USA
170,Steve Marino,106,70.954,298.1,60.71,66.07,-.189,.363,.175,"5,017",4,,2007,"$1,179,165",USA
171,Steve Stricker,81,69.394,283.7,63.73,65.83,.322,1.164,1.486,"25,126",9,1,2007,"$4,663,077",USA
172,Steve Wheatcroft,73,72.138,286.1,66.29,64.25,-.153,-.726,-.879,429,,,2007,"$153,246",USA
173,Stewart Cink,91,70.133,294.7,56.47,66.16,.412,.256,.668,"10,227",6,,2007,"$2,483,146",USA
174,Stuart Appleby,74,70.477,290.9,60.43,61.57,-.037,.376,.339,"7,189",3,,2007,"$1,803,385",AUS
175,Tag Ridings,52,71.435,303.9,57.10,62.78,.605,-.674,-.069,416,1,,2007,"$351,590",USA
176,Ted Purdy,102,71.360,294.1,64.31,67.23,-.370,.200,-.170,"3,056",1,,2007,"$758,734",USA
177,Tiger Woods,63,67.794,302.4,59.83,71.02,.712,2.380,3.092,"53,607",12,7,2007,"$10,867,052",USA
178,Tim Clark,66,69.877,278.1,68.95,61.37,.695,.293,.988,"10,817",6,,2007,"$2,615,152",RSA
179,Tim Herron,98,70.509,287.3,61.78,64.60,.092,.362,.454,"3,289",1,,2007,"$951,200",USA
180,Tim Petrovic,106,70.879,286.4,60.22,62.89,.290,-.175,.115,"4,642",1,,2007,"$1,052,447",USA
181,Todd Hamilton,76,72.933,288.7,57.06,56.94,.032,-1.585,-1.554,358,,,2007,"$109,776",USA
182,Tom Byrum,50,72.018,281.4,71.75,65.16,-.077,-.765,-.842,792,,,2007,"$201,508",USA
183,Tom Johnson,74,71.865,288.4,64.57,64.51,-.372,-.443,-.815,826,,,2007,"$190,926",USA
184,Tom Lehman,62,70.667,284.6,64.01,68.19,-.355,.656,.302,"3,702",3,,2007,"$880,824",USA
185,Tom Pernice Jr.,104,70.659,281.4,66.83,61.86,.324,.313,.637,"3,679",2,,2007,"$927,408",USA
186,Tommy Armour III,81,71.133,285.7,70.17,69.84,.019,.138,.157,"2,973",2,,2007,"$919,134",USA
187,Trevor Immelman,74,70.731,286.6,64.85,65.52,-.253,.735,.482,"6,931",4,,2007,"$1,801,647",RSA
188,Tripp Isenhour,86,71.635,287.1,64.37,60.57,.161,-.675,-.514,"2,099",1,,2007,"$471,980",USA
189,Troy Matteson,87,70.951,296.6,59.92,63.54,.169,.147,.316,"6,502",3,,2007,"$1,282,421",USA
190,Vaughn Taylor,91,70.561,283.6,64.20,64.18,.237,.269,.506,"5,447",3,,2007,"$1,313,353",USA
191,Vijay Singh,102,69.489,293.8,59.66,66.22,-.023,1.402,1.379,"21,193",7,2,2007,"$4,728,376",FIJ
192,Will MacKenzie,100,70.718,291.4,62.11,66.17,-.173,.516,.342,"4,831",3,,2007,"$1,116,507",USA
193,Woody Austin,95,70.419,286.1,63.32,65.50,-.208,.527,.319,"13,240",3,1,2007,"$2,887,596",USA
194,Zach Johnson,76,69.906,280.4,73.05,64.44,.659,.415,1.074,"19,214",5,2,2007,"$3,922,338",USA
195,Aaron Baddeley,76,70.196,290.3,59.45,62.02,.762,.123,.885,"11,250",3,,2008,"$1,665,587",AUS
196,Adam Scott,51,70.060,302.1,54.66,63.72,-.440,1.299,.859,"11,777",3,1,2008,"$1,979,160",AUS
197,Alejandro Cañizares,52,71.151,287.1,62.36,62.37,.100,-.527,-.426,497,,,2008,"$162,115",ESP
198,Alex Cejka,75,71.096,282.7,65.42,63.12,-.444,.434,-.010,"3,802",4,,2008,"$893,998",GER
199,Andres Romero,69,70.816,299.1,52.83,58.79,.008,-.414,-.406,"15,609",3,1,2008,"$2,064,612",ARG
200,Anthony Kim,81,69.279,300.9,58.34,65.78,.362,1.117,1.479,"30,847",8,2,2008,"$4,656,265",USA
201,Bart Bryant,81,70.205,279.5,73.87,64.88,-.004,.693,.689,"11,356",2,,2008,"$1,719,153",USA
202,Ben Crane,86,70.155,287.8,67.64,65.76,.745,.135,.880,"10,578",4,,2008,"$1,488,505",USA
203,Ben Curtis,80,69.981,284.7,67.20,63.45,.321,.440,.761,"20,956",5,,2008,"$2,615,798",USA
204,Bill Haas,99,70.638,296.7,59.95,68.07,.090,.300,.391,"7,384",2,,2008,"$1,000,939",USA
205,Billy Andrade,71,71.967,283.3,59.35,63.52,-.311,-.653,-.963,949,,,2008,"$243,490",USA
206,Billy Mayfair,103,70.512,284.0,72.16,68.12,-.228,.605,.377,"16,805",4,,2008,"$1,750,683",USA
207,Bo Van Pelt,101,70.956,292.0,62.06,67.30,-.149,.130,-.019,"7,006",1,,2008,"$903,967",USA
208,Bob Estes,90,70.742,282.6,66.48,68.69,.146,.352,.498,"2,423",2,,2008,"$829,395",USA
209,Bob Sowards,61,71.967,287.9,60.89,63.43,.101,-.948,-.847,920,1,,2008,"$263,327",USA
210,Bob Tway,70,70.262,279.2,67.34,67.36,.822,.090,.912,"2,615",1,,2008,"$785,641",USA
211,Boo Weekley,86,70.414,291.7,64.75,67.87,-.498,1.048,.550,"14,342",5,1,2008,"$2,398,751",USA
212,Brad Adamonis,87,71.079,289.9,58.10,65.86,-.332,.132,-.200,"3,707",3,,2008,"$862,413",USA
213,Brad Elder,67,71.547,289.8,61.67,64.94,.267,-.673,-.406,212,1,,2008,"$270,365",USA
214,Brandt Jobe,52,71.078,298.8,56.35,66.45,-.107,-.117,-.224,940,,,2008,"$293,214",USA
215,Brandt Snedeker,85,70.506,280.8,60.51,63.36,.122,.161,.282,"12,211",5,,2008,"$1,531,442",USA
216,Brenden Pappas,66,70.977,294.9,57.49,65.28,.335,-.368,-.033,962,1,,2008,"$384,072",RSA
217,Brett Quigley,80,70.897,287.5,61.76,64.53,.102,.324,.426,"7,353",2,,2008,"$878,216",USA
218,Brett Rumford,72,72.023,282.7,56.04,61.52,-.332,-.540,-.873,"1,624",1,,2008,"$386,419",AUS
219,Brian Davis,108,70.718,277.7,72.47,65.23,-.080,.385,.305,"10,431",2,,2008,"$1,151,558",ENG
220,Brian Gay,102,70.015,270.5,71.74,63.71,.511,.205,.716,"11,465",6,1,2008,"$2,205,513",USA
